gene_id	prot_Ctrl_t0_r1	prot_Ctrl_t0_r2	prot_Ctrl_t0_r3	prot_Ctrl_t6_r1	prot_Ctrl_t6_r2	prot_Ctrl_t6_r3	prot_Ctrl_t24_r1	prot_Ctrl_t24_r2	prot_Ctrl_t24_r3	prot_Ctrl_t48_r1	prot_Ctrl_t48_r2	prot_Ctrl_t48_r3	prot_Trt_t0_r1	prot_Trt_t0_r2	prot_Trt_t0_r3	prot_Trt_t6_r1	prot_Trt_t6_r2	prot_Trt_t6_r3	prot_Trt_t24_r1	prot_Trt_t24_r2	prot_Trt_t24_r3	prot_Trt_t48_r1	prot_Trt_t48_r2	prot_Trt_t48_r3
ENSG00000003	5.69405199449847	4.32120251564572	NA	NA	NA	NA	NA	NA	4.18157472281943	4.90976474356287	4.76895404658955	NA	NA	NA	NA	4.03247902129042	5.67375356714485	4.92079855982022	5.44238819508947	NA	4.34122398954218	5.15431372622019	NA	NA
ENSG00000012	7.09303925333804	7.87433488197635	7.81722660544052	7.04255486255723	6.80511002324548	7.23013643641625	7.40410898785632	6.78076847475832	7.30835418984061	7.66037040773657	7.54815560535785	NA	NA	8.01032825122095	7.48564427531734	NA	7.56406252021934	7.10575693056408	7.52441980261828	7.05546594555858	7.51565603199529	7.60277263141507	6.54302653640901	7.74292015906939
ENSG00000015	4.19018401738382	3.92327419460508	NA	NA	NA	NA	4.18530945996861	NA	NA	4.28201342536275	3.69535260377978	NA	NA	NA	NA	NA	3.9558024490284	NA	NA	NA	NA	NA	NA	NA
ENSG00000018	6.06564667676148	6.24158404464907	6.29521245766623	6.14370591772592	6.1475416615787	6.0333475170609	6.19669275590853	6.19664988283134	6.20235176798828	NA	6.81556551594579	6.22037061062358	6.6678149861163	6.27878939805218	NA	6.33915790448994	5.75329580664204	6.75349886321816	5.29029205293431	5.57599165386442	NA	6.93246611241308	6.49063233336322	NA
ENSG00000019	7.16385437398764	6.67496364757576	7.29276872797662	7.55232745002228	7.75784772359544	7.87745079406837	7.13502033133687	6.6681467427393	7.09129144901376	8.09847610809675	7.60280605218627	7.27240306556173	7.19578376943292	7.56881573751898	7.55435610656179	6.77086058029356	7.06634156497953	NA	7.15986941731348	7.60214909881123	7.38192157380603	7.47960262086244	6.98574038695941	8.08971801786224
ENSG00000020	12.3710364185957	11.5312279296036	11.9396137904788	11.6053450293439	12.4394289471568	11.4092515082851	11.5728962913619	11.5433367879638	11.7327669174044	11.1645426393214	11.1766433008339	11.424252507758	12.4297115586131	11.5858906359674	12.5551661294434	12.46869214106	11.0673902502454	11.498876249444	11.0620028473957	11.6473043206092	12.0548002707625	11.4382654250099	11.7499444573844	11.8286477009868
ENSG00000024	13.5119306210683	14.1814401203123	13.8368371320411	13.9238674557629	13.7462808999177	13.742182079752	14.1233110083458	13.7173072335433	13.6902252581919	13.1509260450123	13.1549929023041	13.8349299886461	13.8100396335544	13.7060548176035	13.8771855135077	13.4923019732258	13.4421620982029	13.1341009753587	14.0184266666286	14.1173108139204	13.5538517627427	13.7669574854722	13.8278790770309	13.7221174110227
ENSG00000025	10.6061770989926	11.591935008183	11.1443292187184	11.2043786642898	10.976217699976	11.4882520318162	11.2898005516033	11.462932811789	11.1409110431299	11.225270218035	11.3925261160903	10.9858541598653	NA	11.3218187715183	11.0202097600658	11.4243026484282	10.9629295593626	NA	11.263495835952	10.4201441858732	11.2314509149321	11.0991186772129	11.041388995593	11.3465648666667
ENSG00000029	9.70079639418859	9.74100452486171	10.1148285250127	10.3532626283873	9.56020774660367	10.1600730090314	9.76514106654317	10.2909136037114	9.0638007414956	9.87805766670057	9.74825207902494	9.77740505222224	10.6424225205293	10.0541528698638	9.63859764587203	9.84205305110034	9.84934993616414	10.0248788459588	NA	10.4932060106782	9.8139464181983	10.0300531523276	10.1450992035816	9.99861162455222
ENSG00000031	8.41010973407808	8.48580639037998	8.11689154973724	8.61638218231545	NA	7.5254678250264	8.69050348712534	8.5389602041428	7.69532075212408	8.06695303107397	8.62941838392549	8.19382071281823	NA	8.27159657714707	8.46173780938275	8.36325613706521	7.69255479857149	7.6630357846795	6.7936625624094	7.26708694947834	NA	7.0151600250069	NA	6.53506165026175
