gene_id	detected	rna_mean	p_detect
ENSG00000001	0	4.80883253770411	0.389397388986074
ENSG00000002	0	4.96025465832655	0.391898452004749
ENSG00000003	1	2.82545792163287	0.357216065136559
ENSG00000004	0	2.2024367353946	0.347352321625058
ENSG00000005	0	10.9347817319107	0.493805241822691
ENSG00000006	0	2.9629911390561	0.359410259584547
ENSG00000007	0	5.86021502444895	0.406876502218253
ENSG00000008	0	3.1256467432352	0.362012857994591
ENSG00000009	0	6.31981923025143	0.414594935238609
ENSG00000010	0	8.64798528602681	0.454264226989964
ENSG00000011	0	6.96512035337531	0.425502220335625
ENSG00000012	1	6.17143333414963	0.412098213341206
ENSG00000013	0	8.47985938441526	0.451373735816666
ENSG00000014	0	2.9324401748153	0.358922339795299
ENSG00000015	1	4.55905166559411	0.385284462559639
ENSG00000016	0	3.96421322557118	0.375556440723937
ENSG00000017	0	9.27635316651368	0.46509315703345
ENSG00000018	1	4.56340526967731	0.385356011351203
ENSG00000019	1	4.6820124159472	0.387307143887898
ENSG00000020	1	7.65204828691271	0.437193077979206
ENSG00000021	0	3.6189958357906	0.369955895086581
ENSG00000022	0	6.2281085844482	0.413051297365
ENSG00000023	0	6.25442171743582	0.413494016370735
ENSG00000024	1	11.4669925089228	0.503037111016959
ENSG00000025	1	8.35223734745526	0.449181782077807
ENSG00000026	0	8.41301404604783	0.450225402604558
ENSG00000027	0	3.73495418551605	0.371833299712272
ENSG00000028	0	1.65990601814305	0.338868012396199
ENSG00000029	1	7.56678931400408	0.435737977984197
ENSG00000030	0	5.10672827071309	0.394323193034063
ENSG00000031	1	5.65442757494867	0.403435184379862
ENSG00000032	0	2.6508688582588	0.354439295811337
ENSG00000033	0	3.47755498835876	0.367671238231387
ENSG00000034	1	11.2173052181724	0.498705843095602
ENSG00000035	1	3.90528756625825	0.374598069047915
ENSG00000036	1	7.07667073922004	0.427395401741134
ENSG00000037	1	4.01846589943341	0.376439673499245
ENSG00000038	1	7.87985503948223	0.441086256010871
ENSG00000039	0	6.72803474107639	0.421485826269683
ENSG00000040	0	9.04123737521172	0.461036898156512
ENSG00000041	1	7.18842353915154	0.429294153221945
ENSG00000042	1	5.75964573626527	0.405193549705621
ENSG00000043	1	5.57301754830585	0.402076389338329
ENSG00000044	1	7.62548185347508	0.436739556147208
ENSG00000045	0	9.99458259315582	0.477510539993137
ENSG00000046	0	4.63750457425669	0.386574545377364
ENSG00000047	1	6.46137042592976	0.41698075488882
ENSG00000048	1	5.49090581480105	0.400707404231289
ENSG00000049	0	6.89805677547998	0.424365095276486
ENSG00000050	1	6.8414962537568	0.423406680793452
ENSG00000051	1	5.83660868326456	0.406481269654053
ENSG00000052	0	7.9434904696897	0.442175091384905
ENSG00000053	0	7.44864482332948	0.433723459818853
ENSG00000054	0	7.76445855461335	0.439113213724232
ENSG00000055	0	5.94956754869465	0.408373587805984
ENSG00000056	0	4.64241727189033	0.386655383181633
ENSG00000057	0	7.426941411903	0.433353624231552
ENSG00000058	1	6.31680441307205	0.414544164167351
ENSG00000059	0	7.81610593772092	0.439996043521183
ENSG00000060	1	4.91265762720701	0.39111166579326
ENSG00000061	0	7.73858433778636	0.438671079658198
ENSG00000062	0	2.0453365188859	0.344885248213802
ENSG00000063	1	1.1592672289367	0.331129485505504
ENSG00000064	0	7.0484076748745	0.42691553064699
ENSG00000065	0	10.2964505641549	0.482738700510049
ENSG00000066	0	6.5103930405737	0.417807935321689
ENSG00000067	1	9.23463383510708	0.464373055234588
ENSG00000068	1	7.36960114599635	0.432376879288312
ENSG00000069	0	3.06303081281106	0.361009993110857
ENSG00000070	0	3.85744884857782	0.373820738420992
ENSG00000071	0	5.32823906273698	0.397999977850596
ENSG00000072	0	4.00350368334074	0.376196006520505
ENSG00000073	0	9.31160151172846	0.465701679109424
ENSG00000074	0	5.38834996356542	0.398999746708561
ENSG00000075	1	3.25082967486134	0.364021404042136
ENSG00000076	0	6.64622199584227	0.420102241123668
ENSG00000077	1	2.95292141543853	0.359249407030627
ENSG00000078	1	8.51925830724959	0.45205081168054
ENSG00000079	0	5.72052922858567	0.404539563032336
ENSG00000080	0	3.48749826514833	0.367831656711277
ENSG00000081	0	7.69542725478495	0.437933835965032
ENSG00000082	1	6.37455432514656	0.415517016829678
ENSG00000083	0	7.96315386466164	0.442511655273343
ENSG00000084	0	2.60756848203842	0.353752127631391
ENSG00000085	1	7.22965769293854	0.429995276829305
ENSG00000086	0	1.37554738709673	0.334461700915711
ENSG00000087	0	8.3498101442866	0.449140112847313
ENSG00000088	1	5.63207269136654	0.403061915894807
ENSG00000089	1	4.41356220355165	0.38289630198737
ENSG00000090	0	8.59969995402022	0.453433760962269
ENSG00000091	0	7.1844376344496	0.429226394009523
ENSG00000092	0	9.15616184585076	0.463018984299413
ENSG00000093	1	6.96280141036002	0.425462887279362
ENSG00000094	1	9.20778144973106	0.463909644612124
ENSG00000095	1	6.47975296508605	0.417290877171814
ENSG00000096	1	10.3208265528808	0.483161057375873
