gene_id	t_half_h	sd_log
ENSG00000001	28.5220555738568	0.6
ENSG00000002	4.93444237164817	0.6
ENSG00000003	4.74046182891355	0.6
ENSG00000004	4.70529644952213	0.6
ENSG00000005	2.75032206973241	0.6
ENSG00000006	4.01524999322602	0.6
ENSG00000007	9.94045373351812	0.6
ENSG00000008	5.25779030686901	0.6
ENSG00000009	6.05010662493498	0.6
ENSG00000010	48.339730914544	0.6
ENSG00000011	6.21025070878609	0.6
ENSG00000012	117.605510869775	0.6
ENSG00000013	9.93539191353511	0.6
ENSG00000014	12.6370058641267	0.6
ENSG00000015	13.4813025219249	0.6
ENSG00000016	35.7991639404297	0.6
ENSG00000017	58.6524643541435	0.6
ENSG00000018	6.20822411727014	0.6
ENSG00000019	22.9392677126233	0.6
ENSG00000020	141.932767985862	0.6
ENSG00000021	9.3361628465195	0.6
ENSG00000022	13.226337180324	0.6
ENSG00000023	250.698652364466	0.6
ENSG00000024	3.03821125130859	0.6
ENSG00000025	12.9686787469906	0.6
ENSG00000026	40.0279795829154	0.6
ENSG00000027	23.7535174452444	0.6
ENSG00000028	9.0458038551519	0.6
ENSG00000029	24.4789054286688	0.6
ENSG00000030	4.98669797349708	0.6
ENSG00000031	10.0306828864623	0.6
ENSG00000032	15.0325632398966	0.6
ENSG00000033	32.0730326779055	0.6
ENSG00000034	7.89514260138026	0.6
ENSG00000035	14.4096766110461	0.6
ENSG00000036	13.7180990912994	0.6
ENSG00000037	9.11656554388665	0.6
ENSG00000038	3.77256371191969	0.6
ENSG00000039	37.2839884281477	0.6
ENSG00000040	14.0726550176116	0.6
ENSG00000041	57.2223994761492	0.6
ENSG00000042	16.0789947757388	0.6
ENSG00000043	7.81075517754399	0.6
ENSG00000044	7.43782505372836	0.6
ENSG00000045	9.08935604213303	0.6
ENSG00000046	9.31251621918061	0.6
ENSG00000047	25.8990084142196	0.6
ENSG00000048	4.67391203721339	0.6
ENSG00000049	20.9920044665811	0.6
ENSG00000050	9.96423121298463	0.6
ENSG00000051	13.7281701502399	0.6
ENSG00000052	10.4619013418886	0.6
ENSG00000053	4.40633078278439	0.6
ENSG00000054	55.0386976596677	0.6
ENSG00000055	8.26390531803956	0.6
ENSG00000056	36.6280769263041	0.6
ENSG00000057	11.6166162602579	0.6
ENSG00000058	4.3900779904815	0.6
ENSG00000059	10.8560858922984	0.6
ENSG00000060	9.77867036901405	0.6
ENSG00000061	5.18239247450197	0.6
ENSG00000062	10.1700686686831	0.6
ENSG00000063	25.2197470360671	0.6
ENSG00000064	14.3817267950066	0.6
ENSG00000065	6.5207942695607	0.6
ENSG00000066	18.3435571228024	0.6
ENSG00000067	12.8251080525441	0.6
ENSG00000068	38.6785617938274	0.6
ENSG00000069	8.36557714309331	0.6
ENSG00000070	14.5160984245034	0.6
ENSG00000071	12.5632136962529	0.6
ENSG00000072	7.53265328575063	0.6
ENSG00000073	10.4049901740378	0.6
ENSG00000074	1.55540761050366	0.6
ENSG00000075	4.46953954344768	0.6
ENSG00000076	3.17546119736246	0.6
ENSG00000077	16.6698578367305	0.6
ENSG00000078	2.94670320816472	0.6
ENSG00000079	32.1001069359285	0.6
ENSG00000080	8.64061597081534	0.6
ENSG00000081	9.80371894575557	0.6
ENSG00000082	7.81806824014083	0.6
ENSG00000083	13.2314198130002	0.6
ENSG00000084	8.97669680608532	0.6
ENSG00000085	9.63811175779401	0.6
ENSG00000086	21.1597768206339	0.6
ENSG00000087	7.23301957381865	0.6
ENSG00000088	12.2015702818645	0.6
ENSG00000089	4.5480834977149	0.6
ENSG00000090	10.2795988234866	0.6
ENSG00000091	41.939861294099	0.6
ENSG00000092	5.03576539312426	0.6
ENSG00000093	10.3981493727237	0.6
ENSG00000094	50.2998014768627	0.6
ENSG00000095	13.3380414344724	0.6
ENSG00000096	5.76838469965294	0.6
ENSG00000097	4.42363053744395	0.6
ENSG00000098	6.59766903146025	0.6
ENSG00000099	33.843198851254	0.6
ENSG00000100	5.54636333550791	0.6
ENSG00000101	16.190775591162	0.6
ENSG00000102	143.816475343316	0.6
ENSG00000103	11.8297739605196	0.6
ENSG00000104	28.0015196434905	0.6
ENSG00000105	31.1618474396742	0.6
ENSG00000106	5.184685138149	0.6
ENSG00000107	15.2042190106891	0.6
ENSG00000108	25.1426265968307	0.6
ENSG00000109	69.7307994749241	0.6
ENSG00000110	12.7096167936809	0.6
ENSG00000111	17.808776874737	0.6
ENSG00000112	21.3873483656854	0.6
ENSG00000113	20.9340116347719	0.6
ENSG00000114	9.96793552669216	0.6
ENSG00000115	9.89253539629566	0.6
ENSG00000116	14.0826384099081	0.6
ENSG00000117	15.0178591442309	0.6
ENSG00000118	11.880854599613	0.6
ENSG00000119	63.101256338966	0.6
ENSG00000120	19.0610502597554	0.6
ENSG00000121	2.94099140173638	0.6
ENSG00000122	34.7452794307722	0.6
ENSG00000123	12.9951419034069	0.6
ENSG00000124	8.07045520907986	0.6
ENSG00000125	9.32074617913895	0.6
ENSG00000126	18.2270083359349	0.6
ENSG00000127	14.0400399246416	0.6
ENSG00000128	3.65568370545677	0.6
ENSG00000129	2.11505649703576	0.6
ENSG00000130	14.3043552112694	0.6
ENSG00000131	8.64610211852936	0.6
ENSG00000132	12.2715024637119	0.6
ENSG00000133	230.22274207347	0.6
ENSG00000134	13.8143497896827	0.6
ENSG00000135	26.3914161481308	0.6
ENSG00000136	15.259018405174	0.6
ENSG00000137	49.4504811665501	0.6
ENSG00000138	66.025096302746	0.6
ENSG00000139	74.2935789639267	0.6
ENSG00000140	24.8089804854314	0.6
ENSG00000141	5.03159310832527	0.6
ENSG00000142	5.31045350268245	0.6
ENSG00000143	3.76829241848077	0.6
ENSG00000144	12.5745577173649	0.6
ENSG00000145	8.00164444175357	0.6
ENSG00000146	12.2027727057904	0.6
ENSG00000147	11.3217144198249	0.6
ENSG00000148	20.3130555798117	0.6
ENSG00000149	9.73494919203855	0.6
ENSG00000150	44.1454704339925	0.6
ENSG00000151	32.2514885293823	0.6
ENSG00000152	42.7886441525533	0.6
ENSG00000153	7.17585621969831	0.6
ENSG00000154	102.890504587394	0.6
ENSG00000155	29.1599271844778	0.6
ENSG00000156	1.87101785907783	0.6
ENSG00000157	10.1756457391106	0.6
ENSG00000158	7.71651686595805	0.6
ENSG00000159	22.8630293555466	0.6
ENSG00000160	16.6734448573112	0.6
ENSG00000161	7.2002906718248	0.6
ENSG00000162	15.5473279213715	0.6
ENSG00000163	3.11071992334502	0.6
ENSG00000164	5.05567522316737	0.6
ENSG00000165	12.9680055054264	0.6
ENSG00000166	9.53082632548196	0.6
ENSG00000167	13.2793608402292	0.6
ENSG00000168	14.2760297278192	0.6
ENSG00000169	11.2264185413434	0.6
ENSG00000170	2.39983359541631	0.6
ENSG00000171	14.5474586634956	0.6
ENSG00000172	25.8490954946159	0.6
ENSG00000173	40.1792716459208	0.6
ENSG00000174	20.5915076849915	0.6
ENSG00000175	11.9937122573332	0.6
ENSG00000176	11.4706648694955	0.6
ENSG00000177	5.79186554430748	0.6
ENSG00000178	9.8102959629715	0.6
ENSG00000179	2.98979758696582	0.6
ENSG00000180	10.7269510487539	0.6
ENSG00000181	54.1987025742279	0.6
ENSG00000182	125.371959716986	0.6
ENSG00000183	17.0631111023429	0.6
ENSG00000184	14.3132219863897	0.6
ENSG00000185	8.42142261412138	0.6
ENSG00000186	1.93692357776536	0.6
ENSG00000187	61.7862167254851	0.6
ENSG00000188	104.147605225141	0.6
ENSG00000189	8.01318539093889	0.6
ENSG00000190	6.08952440021034	0.6
ENSG00000191	6.18789593838035	0.6
ENSG00000192	20.2583490946916	0.6
ENSG00000193	7.21578455406693	0.6
ENSG00000194	28.6086673422703	0.6
ENSG00000195	5.29993520351909	0.6
ENSG00000196	47.4504899706147	0.6
ENSG00000197	4.29435579656204	0.6
ENSG00000198	18.8602535058383	0.6
ENSG00000199	24.3777275320444	0.6
ENSG00000200	15.5024398427351	0.6
ENSG00000201	10.2725109129147	0.6
ENSG00000202	15.0184543116615	0.6
ENSG00000203	50.1285996254025	0.6
ENSG00000204	7.14870331748766	0.6
ENSG00000205	7.47844577391261	0.6
ENSG00000206	21.434089414547	0.6
ENSG00000207	16.6046402277194	0.6
ENSG00000208	4.18339319792878	0.6
ENSG00000209	10.0532758341443	0.6
ENSG00000210	35.482218515954	0.6
ENSG00000211	12.8692648653457	0.6
ENSG00000212	26.0114380536776	0.6
ENSG00000213	8.10800238779306	0.6
ENSG00000214	7.22730612079436	0.6
ENSG00000215	3.6045278815868	0.6
ENSG00000216	22.748328897124	0.6
ENSG00000217	42.5685388719708	0.6
ENSG00000218	8.52489461787212	0.6
ENSG00000219	8.18790164296105	0.6
ENSG00000220	5.01375998651714	0.6
ENSG00000221	10.7456329750271	0.6
ENSG00000222	60.7652241550701	0.6
ENSG00000223	7.44208294100013	0.6
ENSG00000224	17.0215084668981	0.6
ENSG00000225	8.76598433298158	0.6
ENSG00000226	15.0198571707403	0.6
ENSG00000227	12.6192091636439	0.6
